VariableCode,RegionCode,YearCode,AggValue
rgdpo,IRQ,1993,79485.89062500000000000
pop,IRQ,1993,18.95508500000000000
rgdpo,IRQ,1994,74968.56250000000000000
pop,IRQ,1994,19.53934000000000000
rgdpo,IRQ,1995,61130.06640625000000000
pop,IRQ,1995,20.14933800000000000
rgdpo,IRQ,1996,91483.35156250000000000
pop,IRQ,1996,20.78307300000000000
rgdpo,IRQ,1997,111470.31250000000000000
pop,IRQ,1997,21.43957400000000000
rgdpo,IRQ,1998,150088.00000000000000000
pop,IRQ,1998,22.11432400000000000
rgdpo,IRQ,1999,174767.18750000000000000
pop,IRQ,1999,22.80206400000000000
rgdpo,IRQ,2000,178330.56250000000000000
pop,IRQ,2000,23.49758500000000000
rgdpo,IRQ,2001,182570.10937500000000000
pop,IRQ,2001,24.20818000000000000
rgdpo,IRQ,2002,170755.25000000000000000
pop,IRQ,2002,24.93191900000000000
rgdpo,IRQ,2003,109393.44531250000000000
pop,IRQ,2003,25.64449900000000000
rgdpo,IRQ,2004,167136.93750000000000000
pop,IRQ,2004,26.31383800000000000
rgdpo,IRQ,2005,178181.20312500000000000
pop,IRQ,2005,26.92228400000000000
rgdpo,IRQ,2006,202061.10937500000000000
pop,IRQ,2006,27.44812400000000000
rgdpo,IRQ,2007,232701.34375000000000000
rgdpo,AIA,1990,247.73855590820300000
pop,AIA,1990,0.00889900000000000
rgdpo,AIA,1991,190.47807312011700000
pop,AIA,1991,0.00913500000000000
rgdpo,AIA,1992,251.87057495117200000
pop,AIA,1992,0.00933200000000000
rgdpo,AIA,1993,261.22576904296900000
pop,AIA,1993,0.00949300000000000
rgdpo,AIA,1994,268.28509521484400000
pop,AIA,1994,0.00966400000000000
rgdpo,AIA,1995,269.01687622070300000
pop,AIA,1995,0.00986600000000000
rgdpo,AIA,1996,259.43457031250000000
pop,AIA,1996,0.01011700000000000
rgdpo,AIA,1997,258.00872802734400000
pop,AIA,1997,0.01038800000000000
rgdpo,AIA,1998,296.84127807617200000
pop,AIA,1998,0.01068400000000000
rgdpo,AIA,1999,322.19351196289100000
pop,AIA,1999,0.01097100000000000
